id,arquitectura,horizonte,zona,epochs,params,config_json,mae,rmse,r2,smape,mejor_val_loss,tiempo_seg,dir
gru_h1_10c1eb14,gru,1,combeima,8,23665,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.03605009374047736,0.045448821833486884,0.9624327926171989,11.701960567496608,0.006469657178968191,21.8,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_h1_10c1eb14
gru_h1_ff72bfeb,gru,1,combeima,8,24273,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.046021450904026553,0.055774459752645736,0.9434237187677631,15.585396036253432,0.00790357869118452,20.6,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_h1_ff72bfeb
lstm_h1_6bdfe82c,lstm,1,combeima,8,30929,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.03764131527308772,0.04525130390322692,0.9627586128641183,16.233256584522245,0.007738491520285606,19.3,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\lstm_h1_6bdfe82c
lstm_h1_9c2c1b6d,lstm,1,combeima,8,31825,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.03468078431423287,0.04307082364881522,0.9662611708470371,12.71946500868447,0.009661742486059666,18.5,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\lstm_h1_9c2c1b6d
bigru_h1_26bfc988,bigru,1,combeima,8,59601,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.034489164760097946,0.04274800956911053,0.9667650179053895,19.05134291793937,0.013289796188473701,27.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\bigru_h1_26bfc988
bigru_h1_94b5b69d,bigru,1,combeima,8,60817,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.045623076368419835,0.06782399897783403,0.9163375769384591,18.363361947574344,0.015298215672373772,27.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\bigru_h1_94b5b69d
gru_attention_h1_ad77193c,gru_attention,1,combeima,8,23753,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.026738117194146066,0.03407110411518353,0.9788876747180831,11.124730023096836,0.00439682649448514,22.3,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_attention_h1_ad77193c
gru_attention_h1_3d7b5aec,gru_attention,1,combeima,8,24329,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.029258382419212282,0.03628440546287932,0.976055615601083,9.837994832538715,0.005085221491754055,21.1,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_attention_h1_3d7b5aec
tcn_h1_e52a3a89,tcn,1,combeima,8,23009,"{""filters"": 48, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.1325602217424494,0.15349847057717583,0.571479346529566,36.077847279464855,0.02717534638941288,12.2,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\tcn_h1_e52a3a89
tcn_h1_0dd7f44a,tcn,1,combeima,8,87473,"{""filters"": 96, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.09628403696940462,0.11426576927354144,0.7625370007347636,27.48113747812399,0.03266536816954613,16.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\tcn_h1_0dd7f44a
