id,arquitectura,horizonte,zona,fuente,epochs,params,config_json,mae,rmse,r2,smape,mejor_val_loss,tiempo_seg,dir
gru_h1_10c1eb14,gru,1,combeima,REALES (GEE),8,23665,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.06045937969561623,0.07889258828394298,-0.133945630021578,8.075068283541322,0.019074762240052223,13.4,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\gru_h1_10c1eb14
gru_h1_ff72bfeb,gru,1,combeima,REALES (GEE),8,24273,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.08714314784464146,0.10596547406131895,-1.0457313163499573,11.942537135257732,0.029513251036405563,12.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\gru_h1_ff72bfeb
lstm_h1_6bdfe82c,lstm,1,combeima,REALES (GEE),8,30929,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.07290385135398332,0.0878259487674371,-0.405288598979926,9.861826585925126,0.021066710352897644,12.8,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\lstm_h1_6bdfe82c
lstm_h1_9c2c1b6d,lstm,1,combeima,REALES (GEE),8,31825,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.10187124139854,0.1206847518297327,-1.6535338132933952,14.11389625901657,0.035366278141736984,13.7,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\lstm_h1_9c2c1b6d
bigru_h1_26bfc988,bigru,1,combeima,REALES (GEE),8,59601,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.09036220483692632,0.10771138068174088,-1.1136983501357247,12.333907972202908,0.0390578992664814,17.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\bigru_h1_26bfc988
bigru_h1_94b5b69d,bigru,1,combeima,REALES (GEE),8,60817,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.07971209689305349,0.0953397038776464,-0.6560270258545355,10.841637855447843,0.03813706710934639,18.7,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\bigru_h1_94b5b69d
gru_attention_h1_ad77193c,gru_attention,1,combeima,REALES (GEE),8,23753,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.07424253121191968,0.08754972579233967,-0.39646290274384355,10.008892191887078,0.020566238090395927,15.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\gru_attention_h1_ad77193c
gru_attention_h1_3d7b5aec,gru_attention,1,combeima,REALES (GEE),8,24329,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.04916664888577136,0.07115625713568047,0.07754324732820095,6.611137805506183,0.016834130510687828,14.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\gru_attention_h1_3d7b5aec
tcn_h1_e52a3a89,tcn,1,combeima,REALES (GEE),8,23009,"{""filters"": 48, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.1840115438979398,0.19438267446233035,-5.883905962840946,26.693042349532753,0.07635102421045303,10.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\tcn_h1_e52a3a89
tcn_h1_0dd7f44a,tcn,1,combeima,REALES (GEE),8,87473,"{""filters"": 96, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.17120816232559088,0.1809866008335845,-4.96777814510565,24.580048927598572,0.07948462665081024,11.3,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260914_001155__basico\tcn_h1_0dd7f44a
